gene,aINS_female,Cg25_female,dlPFC_female,Nac_female,OFC_female,Sub_female,GENENAME,SYMBOL,exclusive
ENSG00000104341,0,1,0,0,0,0,lysosomal protein transmembrane 4 beta,LAPTM4B,1
ENSG00000135535,0,1,0,0,0,0,CD164 molecule,CD164,1
ENSG00000145050,0,1,0,0,0,0,mesencephalic astrocyte derived neurotrophic factor,MANF,1
ENSG00000134574,0,1,0,0,0,0,damage specific DNA binding protein 2,DDB2,1
ENSG00000125864,0,1,0,0,0,0,beaded filament structural protein 1,BFSP1,1
ENSG00000186470,0,1,0,0,0,0,butyrophilin subfamily 3 member A2,BTN3A2,1
ENSG00000239887,0,1,0,0,0,0,chromosome 1 open reading frame 226,C1orf226,1
ENSG00000196476,0,1,0,0,0,0,chromosome 20 open reading frame 96,C20orf96,1
ENSG00000196118,0,1,0,0,0,0,coiled-coil domain containing 189,CCDC189,1
ENSG00000151725,0,1,0,0,0,0,centromere protein U,CENPU,1
ENSG00000176108,0,1,0,0,0,0,charged multivesicular body protein 6,CHMP6,1
ENSG00000172409,0,1,0,0,0,0,cleavage and polyadenylation factor I subunit 1,CLP1,1
ENSG00000180178,0,1,0,0,0,0,NA,NA,1
ENSG00000068438,0,1,0,0,0,0,FtsJ RNA 2'-O-methyltransferase 1,FTSJ1,1
ENSG00000111087,0,1,0,0,0,0,GLI family zinc finger 1,GLI1,1
ENSG00000180573,0,1,0,0,0,0,H2A clustered histone 6,H2AC6,1
ENSG00000004776,0,1,0,0,0,0,heat shock protein family B (small) member 6,HSPB6,1
ENSG00000034152,0,1,0,0,0,0,mitogen-activated protein kinase kinase 3,MAP2K3,1
ENSG00000101608,0,1,0,0,0,0,myosin light chain 12A,MYL12A,1
ENSG00000173376,0,1,0,0,0,0,neuron derived neurotrophic factor,NDNF,1
ENSG00000184207,0,1,0,0,0,0,phosphoglycolate phosphatase,PGP,1
ENSG00000149809,0,1,0,0,0,0,transmembrane 7 superfamily member 2,TM7SF2,1
ENSG00000115282,0,1,0,0,0,0,tetratricopeptide repeat domain 31,TTC31,1
ENSG00000236474,0,0,1,0,0,0,NA,NA,1
ENSG00000254512,0,0,1,0,0,0,NA,NA,1
ENSG00000174501,0,0,1,0,0,0,ankyrin repeat domain 36C,ANKRD36C,1
ENSG00000183638,0,0,1,0,0,0,RP1 like 1,RP1L1,1
ENSG00000059588,0,0,1,0,0,0,TAR (HIV-1) RNA binding protein 1,TARBP1,1
ENSG00000259339,0,0,1,0,0,0,NA,NA,1
ENSG00000072121,0,0,1,0,0,0,zinc finger FYVE-type containing 26,ZFYVE26,1
ENSG00000166147,0,0,1,0,0,0,fibrillin 1,FBN1,1
ENSG00000269343,0,0,1,0,0,0,zinc finger protein 587B,ZNF587B,1
ENSG00000259318,0,0,1,0,0,0,NA,NA,1
ENSG00000198064,0,0,1,0,0,0,"nuclear pore complex interacting protein family, member B13",NPIPB13,1
ENSG00000035403,0,0,1,0,0,0,vinculin,VCL,1
ENSG00000235674,0,0,1,0,0,0,NA,NA,1
ENSG00000177984,0,0,1,0,0,0,lipocalin 15,LCN15,1
ENSG00000215165,0,0,1,0,0,0,NA,NA,1
ENSG00000088320,0,0,1,0,0,0,RRAD and GEM like GTPase 1,REM1,1
ENSG00000212643,0,0,1,0,0,0,NA,NA,1
ENSG00000165091,0,0,1,0,0,0,transmembrane channel like 1,TMC1,1
ENSG00000120798,0,0,1,0,0,0,nuclear receptor subfamily 2 group C member 1,NR2C1,1
ENSG00000132849,0,0,1,0,0,0,PATJ crumbs cell polarity complex component,PATJ,1
ENSG00000234227,0,0,1,0,0,0,NA,NA,1
ENSG00000116560,0,0,1,0,0,0,splicing factor proline and glutamine rich,SFPQ,1
ENSG00000188624,0,0,1,0,0,0,IGF like family member 3,IGFL3,1
ENSG00000114374,0,0,1,0,0,0,ubiquitin specific peptidase 9 Y-linked,USP9Y,1
ENSG00000114374,0,0,1,0,0,0,"testis-specific transcript, Y-linked 15",TTTY15,1
ENSG00000237406,0,0,1,0,0,0,NA,NA,1
ENSG00000196204,0,0,1,0,0,0,ring finger protein 216 pseudogene 1,RNF216P1,1
ENSG00000218186,0,0,1,0,0,0,NA,NA,1
ENSG00000214189,0,0,1,0,0,0,NA,NA,1
ENSG00000257966,0,0,1,0,0,0,NA,NA,1
ENSG00000125633,0,0,1,0,0,0,coiled-coil domain containing 93,CCDC93,1
ENSG00000214244,0,0,1,0,0,0,NA,NA,1
ENSG00000128383,0,0,1,0,0,0,apolipoprotein B mRNA editing enzyme catalytic subunit 3A,APOBEC3A,1
ENSG00000128383,0,0,1,0,0,0,APOBEC3A and APOBEC3B deletion hybrid,APOBEC3A_B,1
ENSG00000126759,0,0,1,0,0,0,complement factor properdin,CFP,1
ENSG00000100024,0,0,1,0,0,0,beta-ureidopropionase 1,UPB1,1
ENSG00000138796,0,0,1,0,0,0,hydroxyacyl-CoA dehydrogenase,HADH,1
ENSG00000171819,0,0,1,0,0,0,angiopoietin like 7,ANGPTL7,1
ENSG00000160117,0,0,1,0,0,0,ankyrin repeat and LEM domain containing 1,ANKLE1,1
ENSG00000180708,0,0,1,0,0,0,olfactory receptor family 10 subfamily K member 2,OR10K2,1
ENSG00000149380,0,0,1,0,0,0,prolyl 4-hydroxylase subunit alpha 3,P4HA3,1
ENSG00000107614,0,0,1,0,0,0,tRNA aspartic acid methyltransferase 1,TRDMT1,1
ENSG00000206159,0,0,1,0,0,0,glycogenin 2 pseudogene 1,GYG2P1,1
ENSG00000139547,0,0,1,0,0,0,retinol dehydrogenase 16,RDH16,1
ENSG00000185031,0,0,1,0,0,0,NA,NA,1
ENSG00000105404,0,0,1,0,0,0,Rab acceptor 1,RABAC1,1
ENSG00000196597,0,0,1,0,0,0,zinc finger protein 782,ZNF782,1
ENSG00000154102,0,0,1,0,0,0,chromosome 16 open reading frame 74,C16orf74,1
ENSG00000273762,0,0,1,0,0,0,NA,NA,1
ENSG00000251400,0,0,1,0,0,0,NA,NA,1
ENSG00000259378,0,0,1,0,0,0,NA,NA,1
ENSG00000241697,0,0,1,0,0,0,transmembrane protein with EGF like and two follistatin like domains 1,TMEFF1,1
ENSG00000081791,0,0,1,0,0,0,DAP3 binding cell death enhancer 1,DELE1,1
ENSG00000227331,0,0,1,0,0,0,NA,NA,1
ENSG00000149716,0,0,1,0,0,0,LTO1 maturation factor of ABCE1,LTO1,1
ENSG00000168405,0,0,1,0,0,0,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene",CMAHP,1
ENSG00000274276,0,0,1,0,0,0,cystathionine beta-synthase like,CBSL,1
ENSG00000214988,0,0,1,0,0,0,NA,NA,1
ENSG00000089280,0,0,1,0,0,0,FUS RNA binding protein,FUS,1
ENSG00000143748,0,0,1,0,0,0,nuclear VCP like,NVL,1
ENSG00000257195,0,0,1,0,0,0,NA,NA,1
ENSG00000106459,0,0,1,0,0,0,nuclear respiratory factor 1,NRF1,1
ENSG00000235370,0,0,1,0,0,0,NA,NA,1
ENSG00000167080,0,0,1,0,0,0,"beta-1,4-N-acetyl-galactosaminyltransferase 2",B4GALNT2,1
ENSG00000237223,0,0,1,0,0,0,sulfotransferase family 1C member 2 pseudogene 1,SULT1C2P1,1
ENSG00000232230,0,0,1,0,0,0,NA,NA,1
ENSG00000113263,0,0,1,0,0,0,IL2 inducible T cell kinase,ITK,1
ENSG00000176422,0,0,1,0,0,0,SPRY domain containing 4,SPRYD4,1
ENSG00000131797,0,0,1,0,0,0,clustered mitochondria homolog pseudogene 3,CLUHP3,1
ENSG00000183604,0,0,1,0,0,0,SMG1 pseudogene 5,SMG1P5,1
ENSG00000260818,0,0,1,0,0,0,NA,NA,1
ENSG00000180116,0,0,1,0,0,0,chromosome 12 open reading frame 40,C12orf40,1
ENSG00000138472,0,0,1,0,0,0,guanylate cyclase activator 1C,GUCA1C,1
ENSG00000109771,0,0,1,0,0,0,LRP2 binding protein,LRP2BP,1
ENSG00000163534,0,0,1,0,0,0,Fc receptor like 1,FCRL1,1
ENSG00000227500,0,0,1,0,0,0,secretory carrier membrane protein 4,SCAMP4,1
ENSG00000106004,0,0,1,0,0,0,homeobox A5,HOXA5,1
ENSG00000109881,0,0,1,0,0,0,coiled-coil domain containing 34,CCDC34,1
ENSG00000132915,0,0,1,0,0,0,phosphodiesterase 6A,PDE6A,1
ENSG00000154743,0,0,1,0,0,0,tRNA splicing endonuclease subunit 2,TSEN2,1
ENSG00000155833,0,0,1,0,0,0,cylicin 2,CYLC2,1
ENSG00000147789,0,0,1,0,0,0,zinc finger protein 7,ZNF7,1
ENSG00000078403,0,0,1,0,0,0,MLLT10 histone lysine methyltransferase DOT1L cofactor,MLLT10,1
ENSG00000168096,0,0,1,0,0,0,ankyrin repeat and sterile alpha motif domain containing 3,ANKS3,1
ENSG00000215887,0,0,1,0,0,0,NA,NA,1
ENSG00000258233,0,0,1,0,0,0,NA,NA,1
ENSG00000229994,0,0,1,0,0,0,NA,NA,1
ENSG00000234562,0,0,1,0,0,0,NA,NA,1
ENSG00000277399,0,0,1,0,0,0,G protein-coupled receptor 179,GPR179,1
ENSG00000204590,0,0,1,0,0,0,G protein nucleolar 1 (putative),GNL1,1
ENSG00000176040,0,0,1,0,0,0,transmembrane serine protease 7,TMPRSS7,1
ENSG00000102265,0,0,1,0,0,0,TIMP metallopeptidase inhibitor 1,TIMP1,1
ENSG00000168014,0,0,1,0,0,0,C2 domain containing 3 centriole elongation regulator,C2CD3,1
ENSG00000172543,0,0,1,0,0,0,cathepsin W,CTSW,1
ENSG00000228753,0,0,1,0,0,0,NA,NA,1
ENSG00000158169,0,0,1,0,0,0,FA complementation group C,FANCC,1
ENSG00000167757,0,0,1,0,0,0,kallikrein related peptidase 11,KLK11,1
ENSG00000160856,0,0,1,0,0,0,Fc receptor like 3,FCRL3,1
ENSG00000198715,0,0,1,0,0,0,glycosylated lysosomal membrane protein,GLMP,1
ENSG00000225198,0,0,1,0,0,0,NA,NA,1
ENSG00000132394,0,0,1,0,0,0,"eukaryotic elongation factor, selenocysteine-tRNA specific",EEFSEC,1
ENSG00000198393,0,0,1,0,0,0,zinc finger protein 26,ZNF26,1
ENSG00000233966,0,0,1,0,0,0,NA,NA,1
ENSG00000140986,0,0,1,0,0,0,ribosomal protein L3 like,RPL3L,1
ENSG00000093217,0,0,1,0,0,0,xylulokinase,XYLB,1
ENSG00000261528,0,0,1,0,0,0,NA,NA,1
ENSG00000223733,0,0,1,0,0,0,NA,NA,1
ENSG00000242338,0,0,1,0,0,0,NA,NA,1
ENSG00000228810,0,0,1,0,0,0,NA,NA,1
ENSG00000258890,0,0,1,0,0,0,centrosomal protein 95,CEP95,1
ENSG00000260266,0,0,1,0,0,0,peptidylprolyl isomerase A pseudogene 46,PPIAP46,1
ENSG00000249206,0,0,1,0,0,0,NA,NA,1
ENSG00000225650,0,0,1,0,0,0,NA,NA,1
ENSG00000106133,0,0,1,0,0,0,NSUN5 pseudogene 2,NSUN5P2,1
ENSG00000142513,0,0,1,0,0,0,acid phosphatase 4,ACP4,1
ENSG00000134698,0,0,1,0,0,0,argonaute RISC component 4,AGO4,1
ENSG00000183439,0,0,1,0,0,0,tripartite motif containing 61,TRIM61,1
ENSG00000258024,0,0,1,0,0,0,NA,NA,1
ENSG00000143344,0,0,1,0,0,0,ral guanine nucleotide dissociation stimulator like 1,RGL1,1
ENSG00000240972,0,0,1,0,0,0,macrophage migration inhibitory factor,MIF,1
ENSG00000166888,0,0,1,0,0,0,signal transducer and activator of transcription 6,STAT6,1
ENSG00000109084,0,0,1,0,0,0,transmembrane protein 97,TMEM97,1
ENSG00000258571,0,0,1,0,0,0,NA,NA,1
ENSG00000230593,0,0,1,0,0,0,NA,NA,1
ENSG00000178935,0,0,1,0,0,0,zinc finger protein 552,ZNF552,1
ENSG00000178802,0,0,1,0,0,0,mannose phosphate isomerase,MPI,1
ENSG00000229419,0,0,1,0,0,0,Ral GTPase activating protein catalytic alpha subunit 1 pseudogene 1,RALGAPA1P1,1
ENSG00000197614,0,0,1,0,0,0,microfibril associated protein 5,MFAP5,1
ENSG00000254449,0,0,1,0,0,0,NA,NA,1
ENSG00000218226,0,0,1,0,0,0,NA,NA,1
ENSG00000139624,0,0,1,0,0,0,ceramide synthase 5,CERS5,1
ENSG00000101294,0,0,1,0,0,0,histocompatibility minor 13,HM13,1
ENSG00000127774,0,0,1,0,0,0,ER membrane protein complex subunit 6,EMC6,1
ENSG00000197849,0,0,1,0,0,0,olfactory receptor family 8 subfamily G member 1 (gene/pseudogene),OR8G1,1
ENSG00000105664,0,0,1,0,0,0,cartilage oligomeric matrix protein,COMP,1
ENSG00000188676,0,0,1,0,0,0,"indoleamine 2,3-dioxygenase 2",IDO2,1
ENSG00000176268,0,0,1,0,0,0,NA,NA,1
ENSG00000249226,0,0,1,0,0,0,NA,NA,1
ENSG00000178917,0,0,1,0,0,0,zinc finger protein 852,ZNF852,1
ENSG00000248871,0,0,1,0,0,0,TNFSF12-TNFSF13 readthrough,TNFSF12-TNFSF13,1
ENSG00000124091,0,0,1,0,0,0,glucosaminyl (N-acetyl) transferase family member 7,GCNT7,1
ENSG00000213484,0,0,1,0,0,0,NA,NA,1
ENSG00000283101,0,0,1,0,0,0,NA,NA,1
ENSG00000228328,0,0,1,0,0,0,NA,NA,1
ENSG00000134627,0,0,1,0,0,0,piwi like RNA-mediated gene silencing 4,PIWIL4,1
ENSG00000220867,0,0,1,0,0,0,NA,NA,1
ENSG00000141696,0,0,1,0,0,0,prolyl 3-hydroxylase family member 4 (inactive),P3H4,1
ENSG00000182347,0,0,1,0,0,0,NA,NA,1
ENSG00000088356,0,0,1,0,0,0,p53 and DNA damage regulated 1,PDRG1,1
ENSG00000142910,0,0,1,0,0,0,tubulointerstitial nephritis antigen like 1,TINAGL1,1
ENSG00000237887,0,0,1,0,0,0,NA,NA,1
ENSG00000219222,0,0,1,0,0,0,NA,NA,1
ENSG00000105186,0,0,1,0,0,0,ankyrin repeat domain 27,ANKRD27,1
ENSG00000131746,0,0,1,0,0,0,tensin 4,TNS4,1
ENSG00000236152,0,0,1,0,0,0,NA,NA,1
ENSG00000127589,0,0,1,0,0,0,NA,NA,1
ENSG00000270585,0,0,1,0,0,0,NA,NA,1
ENSG00000135976,0,0,1,0,0,0,ankyrin repeat domain 36,ANKRD36,1
ENSG00000239840,0,0,1,0,0,0,NA,NA,1
ENSG00000123485,0,0,1,0,0,0,Holliday junction recognition protein,HJURP,1
ENSG00000178607,0,0,1,0,0,0,endoplasmic reticulum to nucleus signaling 1,ERN1,1
ENSG00000137857,0,0,1,0,0,0,dual oxidase 1,DUOX1,1
ENSG00000134013,0,0,1,0,0,0,lysyl oxidase like 2,LOXL2,1
ENSG00000224003,0,0,1,0,0,0,NA,NA,1
ENSG00000228057,0,0,1,0,0,0,NA,NA,1
ENSG00000170291,0,0,1,0,0,0,elongator acetyltransferase complex subunit 5,ELP5,1
ENSG00000123843,0,0,1,0,0,0,complement component 4 binding protein beta,C4BPB,1
ENSG00000167196,0,0,1,0,0,0,F-box protein 22,FBXO22,1
ENSG00000144644,0,0,1,0,0,0,glutamate decarboxylase like 1,GADL1,1
ENSG00000182983,0,0,1,0,0,0,zinc finger protein 662,ZNF662,1
ENSG00000142661,0,0,1,0,0,0,myomesin 3,MYOM3,1
ENSG00000173077,0,0,1,0,0,0,deleted in esophageal cancer 1,DEC1,1
ENSG00000149483,0,0,1,0,0,0,transmembrane protein 138,TMEM138,1
ENSG00000196993,0,0,1,0,0,0,nuclear pore complex interacting protein family member B9,NPIPB9,1
ENSG00000225008,0,0,1,0,0,0,NA,NA,1
ENSG00000217416,0,0,1,0,0,0,NA,NA,1
ENSG00000174944,0,0,1,0,0,0,purinergic receptor P2Y14,P2RY14,1
ENSG00000185823,0,0,1,0,0,0,nuclear pore associated protein 1,NPAP1,1
ENSG00000185436,0,0,1,0,0,0,interferon lambda receptor 1,IFNLR1,1
ENSG00000248771,0,0,1,0,0,0,small integral membrane protein 31,SMIM31,1
ENSG00000166523,0,0,1,0,0,0,C-type lectin domain family 4 member E,CLEC4E,1
ENSG00000217783,0,0,1,0,0,0,NA,NA,1
ENSG00000223984,0,0,1,0,0,0,NA,NA,1
ENSG00000189051,0,0,1,0,0,0,ring finger protein 222,RNF222,1
ENSG00000227073,0,0,1,0,0,0,NA,NA,1
ENSG00000099977,0,0,1,0,0,0,D-dopachrome tautomerase,DDT,1
ENSG00000099977,0,0,1,0,0,0,D-dopachrome tautomerase like,DDTL,1
ENSG00000196839,0,0,1,0,0,0,adenosine deaminase,ADA,1
ENSG00000061987,0,0,1,0,0,0,"MON2 homolog, regulator of endosome-to-Golgi trafficking",MON2,1
ENSG00000154429,0,0,1,0,0,0,"centriole, cilia and spindle associated protein",CCSAP,1
ENSG00000134759,0,0,1,0,0,0,elongator acetyltransferase complex subunit 2,ELP2,1
ENSG00000161981,0,0,1,0,0,0,small nuclear ribonucleoprotein U11/U12 subunit 25,SNRNP25,1
ENSG00000124357,0,0,1,0,0,0,N-acetylglucosamine kinase,NAGK,1
ENSG00000123473,0,0,1,0,0,0,STIL centriolar assembly protein,STIL,1
ENSG00000272636,0,0,1,0,0,0,double C2 domain beta,DOC2B,1
ENSG00000170324,0,0,1,0,0,0,FERM and PDZ domain containing 2,FRMPD2,1
ENSG00000167779,0,0,1,0,0,0,insulin like growth factor binding protein 6,IGFBP6,1
ENSG00000130751,0,0,1,0,0,0,neuronal PAS domain protein 1,NPAS1,1
ENSG00000073282,0,0,1,0,0,0,tumor protein p63,TP63,1
ENSG00000165685,0,0,1,0,0,0,transmembrane protein 52B,TMEM52B,1
ENSG00000119125,0,0,1,0,0,0,guanine deaminase,GDA,1
ENSG00000197013,0,0,1,0,0,0,zinc finger protein 429,ZNF429,1
ENSG00000104313,0,0,1,0,0,0,EYA transcriptional coactivator and phosphatase 1,EYA1,1
ENSG00000172508,0,0,1,0,0,0,carnosine synthase 1,CARNS1,1
ENSG00000198121,0,0,1,0,0,0,lysophosphatidic acid receptor 1,LPAR1,1
ENSG00000138435,0,0,1,0,0,0,cholinergic receptor nicotinic alpha 1 subunit,CHRNA1,1
ENSG00000175344,0,0,1,0,0,0,cholinergic receptor nicotinic alpha 7 subunit,CHRNA7,1
ENSG00000141744,0,0,1,0,0,0,phenylethanolamine N-methyltransferase,PNMT,1
ENSG00000196553,0,0,1,0,0,0,coiled-coil domain containing 196,CCDC196,1
